설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자
속초시노인복지관	"복도(1층,2층)"	강원도	속초시	복지시설	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 수복로42(노학동)	강원도 속초시 교동 979	강원도 속초시청	033-636-2299	38.196734	128.576398	2017-08-24
강원도장애인종합복지관	현관(1층)	강원도	속초시	복지시설	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 청초호반로201(노학동)	강원도 속초시 교동 668-32	강원도 속초시청	033-636-2299	38.197596	128.580315	2017-08-24
속초시청소년문화의집	"복도(3층,4층)"	강원도	속초시	지역문화시설	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 청초로3길57(청호동)	강원도 속초시 청호동 444-8	강원도 속초시청	033-636-2299	38.191595	128.59774	2017-08-24
속초시청소년수련관	"생활관(1층,2층,3층)"	강원도	속초시	지역문화시설	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 관광로363번길14(노학동)	강원도 속초시 노학동 978	강원도 속초시청	033-636-2299	38.193356	128.538006	2017-08-24
속초시청소년수련관	실내체육관	강원도	속초시	지역문화시설	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 관광로363번길14(노학동)	강원도 속초시 노학동 978	강원도 속초시청	033-636-2299	38.193356	128.538061	2017-08-24
고속버스터미널	대기실	강원도	속초시	교통시설	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 동해대로 3988(조양동)	강원도 속초시 조양동 1418	강원도 속초시청	033-636-2299	38.190651	128.598734	2017-08-24
속초시문화회관	"현관(1층,2층)"	강원도	속초시	관공서	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 번영로 155(영랑동)	강원도 속초시 영랑동 570-5	강원도 속초시청	033-636-2299	38.212784	128.588692	2017-08-24
보건소	보건소	강원도	속초시	관공서	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 수복로 36(노학동)	강원도 속초시 교동 980	강원도 속초시청	033-636-2299	38.196195	128.575891	2017-08-24
속초관광수산시장	시장지하	강원도	속초시	기타	㈜케이티	Public WiFi Free	17-Dec	강원도 속초시 중앙로147번길 16 (중앙동)	강원도 속초시 중앙동 471-4	강원도 속초시청	033-636-2299	38.204449	128.590153	2017-08-24
대포동주민센터	민원실	강원도	속초시	관공서	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 설악산로 466 (도문동)	강원도 속초시 도문동 325-4	강원도 속초시청	033-636-2299	38.165619	128.557093	2017-08-24
청호동주민센터	민원실	강원도	속초시	관공서	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 청호로 93 (청호동)	강원도 속초시 청호동 1248-1	강원도 속초시청	033-636-2299	38.197962	128.595434	2017-08-24
조양동주민센터	민원실	강원도	속초시	관공서	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 선사로1길 16 (조양동)	강원도 속초시 조양동 1524	강원도 속초시청	033-636-2299	38.187628	128.590841	2017-08-24
노학동주민센터	민원실	강원도	속초시	관공서	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 동해대로 4245 (교동)	강원도 속초시 교동 979	강원도 속초시청	033-636-2299	38.196734	128.576398	2017-08-24
교동주민센터	민원실	강원도	속초시	관공서	(주)엘지유플러스	Public WiFi Free	17-Dec	강원도 속초시 청학로 51 (청학동)	강원도 속초시 청학동 640-2	강원도 속초시청	033-636-2299	38.202505	128.58256	2017-08-24
금호동주민센터	민원실	강원도	속초시	관공서	㈜케이티	Public WiFi Free	17-Dec	강원도 속초시 중앙시장로 43 (중앙동)	강원도 속초시 중앙동 496-25	강원도 속초시청	033-636-2299	38.206904	128.588198	2017-08-24
동명동주민센터	민원실	강원도	속초시	관공서	㈜케이티	Public WiFi Free	17-Dec	강원도 속초시 중앙로 257 (동명동)	강원도 속초시 동명동 89-2	강원도 속초시청	033-636-2299	38.212691	128.59567	2017-08-24
영랑동주민센터	민원실	강원도	속초시	관공서	㈜케이티	Public WiFi Free	17-Dec	강원도 속초시 중앙로 403 (장사동)	강원도 속초시 장사동 634-4	강원도 속초시청	033-636-2299	38.223658	128.588153	2017-08-24
속초시청	종합민원실	강원도	속초시	관공서	㈜케이티	Public WiFi Free	17-Dec	강원도 속초시 중앙로 183 (중앙동)	강원도 속초시 동명동 465-4	강원도 속초시청	033-636-2299	38.207609	128.591894	2017-08-24
지리산국립공원 함양분소	1층	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 마천면 백무동로 22		경상남도 함양군청	055-960-5116	35.376784	127.662834	2017-09-01
함양시외버스터미널	1층	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 함양읍 한들로 159		경상남도 함양군청	055-960-5116	35.521054	127.732957	2017-09-01
함양군노인회관	1층	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 함양읍 함양남서로 1245		경상남도 함양군청	055-960-5116	35.520634	127.718095	2017-09-01
함양군청	1층 민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 고운로 35		경상남도 함양군청	055-960-5116	35.520353	127.724973	2017-09-01
함양우체국	1층	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 함양읍 학사루길 1		경상남도 함양군청	055-960-5116	35.519964	127.726334	2017-09-01
반여농산물 도매시장	시장	부산광역시	해운대구	서민·복지시설	SKT	Public WiFi	14-Oct	부산광역시 해운대구 수영강변대로 626	부산광역시 해운대구 반여동 559	부산광역시	051-888-4604	35.2148598	129.1225336	2017-05-10
반여4동주민센터	민원실	부산광역시	해운대구	관공서	SKT	Public WiFi	14-Oct	부산광역시 해운대구 삼어로133번길 50 (반여동)	부산광역시 해운대구 반여동 1122번지	부산광역시	051-888-4604	35.2091987	129.1172135	2017-05-10
반여3동주민센터	민원실	부산광역시	해운대구	관공서	SKT	Public WiFi	14-Oct	부산광역시 해운대구 재반로256번길 29-70 (반여동)	부산광역시 해운대구 반여동 1591-4번지	부산광역시	051-888-4604	35.2009859	129.1335166	2017-05-10
반여3동 골목시장	시장	부산광역시	해운대구	서민·복지시설	SKT	Public WiFi	14-Oct	부산광역시 해운대구 재반로256번길 8	부산광역시 해운대구 반여3동 1607-2	부산광역시	051-888-4604	35.199931	129.132061	2017-05-10
종합운동장역	대합실	부산광역시	연제구	교통시설	LGU+			부산광역시 연제구 거제동 905		부산광역시 연제구청	051-665-4171	35.191422	129.068041	2017-09-01
종덕원	1층	부산광역시	연제구	서민·복지시설	LGU+			부산광역시 연제구 연산동 130-1		부산광역시 연제구청	051-665-4171	35.18281	129.111417	2017-09-01
부산의료원 종합검진센터	대기실	부산광역시	연제구	서민·복지시설	LGU+			부산광역시 연제구 월드컵대로 359		부산광역시 연제구청	051-665-4171	35.186817	129.060132	2017-09-01
배산역	대합실	부산광역시	연제구	교통시설	LGU+			부산광역시 연제구 연산동 1802		부산광역시 연제구청	051-665-4171	35.173459	129.095467	2017-09-01
연제구 보건소	민원실	부산광역시	연제구	서민·복지시설	KT			부산광역시 연제구 연제로 2		부산광역시 연제구청	051-665-4171	35.176829	129.079139	2017-09-01
연산9동주민센터	민원실	부산광역시	연제구	관공서	KT			부산광역시 연제구 안연로 8번길 71		부산광역시 연제구청	051-665-4171	35.188608	129.10492	2017-09-01
연산8동주민센터	민원실	부산광역시	연제구	관공서	KT			부산광역시 연제구 과정로251번길 33		부산광역시 연제구청	051-665-4171	35.187139	129.101054	2017-09-01
연산6동주민센터	민원실	부산광역시	연제구	관공서	KT			부산광역시 연제구 쌍미천로52번길 2		부산광역시 연제구청	051-665-4171	35.177468	129.089712	2017-09-01
연산5동주민센터	민원실	부산광역시	연제구	관공서	KT			부산광역시 연제구 거제천로 124번길 15		부산광역시 연제구청	051-665-4171	35.187117	129.070555	2017-09-01
연산4동주민센터	민원실	부산광역시	연제구	관공서	KT			부산광역시 연제구 쌍미천로 151번길 42		부산광역시 연제구청	051-665-4171	35.186301	129.084947	2017-09-01
연산2동주민센터	민원실	부산광역시	연제구	관공서	KT			부산광역시 연제구 중앙대로 1038번길 39		부산광역시 연제구청	051-665-4171	35.179947	129.079327	2017-09-01
연산1동주민센터	민원실	부산광역시	연제구	관공서	KT			부산광역시 연제구 연동로8번길 66		부산광역시 연제구청	051-665-4171	35.189991	129.090409	2017-09-01
성우원	1층	부산광역시	연제구	서민·복지시설	KT			부산광역시 연제구 톳고개로 48		부산광역시 연제구청	051-665-4171	35.181313	129.102234	2017-09-01
부산지방우정청	1층	부산광역시	연제구	관공서	KT			부산광역시 연제구 중앙대로 1150번길 15		부산광역시 연제구청	051-665-4171	35.1941185	129.0706088	2017-09-01
부산장애인종합복지관	1층	부산광역시	연제구	서민·복지시설	KT			부산광역시 연제구 중앙대로 1150번길 15		부산광역시 연제구청	051-665-4171	35.190556	129.081547	2017-09-01
부산우정청사업지원국	1층	부산광역시	연제구	관공서	KT			부산광역시 연제구 법원북로 33		부산광역시 연제구청	051-665-4171	35.1941185	129.0706088	2017-09-01
부산연제우체국	민원실	부산광역시	연제구	관공서	KT			부산광역시 연제구 법원북로 33		부산광역시 연제구청	051-665-4171	35.194131	129.070548	2017-09-01
부산돌봉사사회서비스센터	1층	부산광역시	연제구	서민·복지시설	KT			부산광역시 연제구 거제시장로14번길 38		부산광역시 연제구청	051-665-4171	35.182701	129.073516	2017-09-01
부산광역자활센터	민원실	부산광역시	연제구	관공서	KT			부산광역시 연제구 거제천로 89		부산광역시 연제구청	051-665-4171	35.1822687	129.0730784	2017-09-01
누림터	1층	부산광역시	연제구	서민·복지시설	KT			부산광역시 연제구 중앙대로 1075번길 42		부산광역시 연제구청	051-665-4171	35.185343	129.078088	2017-09-01
거제시장	시장 내	부산광역시	연제구	서민·복지시설	KT			부산광역시 연제구 거제시장로14번길 28		부산광역시 연제구청	051-665-4171	35.181937	129.072809	2017-09-01
전주향교	"서제, 동제"	전라북도	전주시	지역문화시설	KT	Public WiFi Free	17-Jan	전라북도 전주시 완산구 향교길 139	전라북도 전주시 완산구 교동 26-3	전라북도 전주시청	063-281-2424	35.8128298	127.1571308	2017-04-24
한옥마을 관광안내소	건물 밖	전라북도	전주시	편의시설	KT	Public WiFi Free	17-Dec	전라북도 전주시 완산구 기린대로 99	전라북도 전주시 완산구 남노송동 100-1	전라북도 전주시청	063-281-2424	35.818223	127.153715	2017-04-24
덕진구청	4층	전라북도	전주시	관공서	LGU+	asiart jeonju8	17-Jun	전라북도 전주시 덕진구 벚꽃로 55	전라북도 전주시 덕진구 진북동 416-12	전라북도 전주시 덕진구청	063-270-6200	35.8293589	127.1345616	2017-04-24
사회복지법인포도원복지재단	1층	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 함양읍 대실곰실로 53		경상남도 함양군청	055-960-5116	35.521914	127.71165	2017-09-01
병곡면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	SMART-hamyang		경상남도 함양군 함양남서로 1756		경상남도 함양군청	055-960-5116	35.528694	127.682198	2017-09-01
백전면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 백전면 구산대안로 10-3		경상남도 함양군청	055-960-5116	35.551676	127.635672	2017-09-01
서상면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 서상면 서상로 308		경상남도 함양군청	055-960-5116	35.683302	127.685947	2017-09-01
서하면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 서하면 함양남서로 3936-1		경상남도 함양군청	055-960-5116	35.647589	127.695425	2017-09-01
안의면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 안의면 금성길 7		경상남도 함양군청	055-960-5116	35.628665	127.811288	2017-09-01
함양보건소	2층복도	경상남도	함양군	관공서	KT	Public WiFi Free		경상남도 함양군 함양읍 한들로 141		경상남도 함양군청	055-960-5116	35.519683	127.731722	2017-09-01
지곡면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 지곡면 함양로  1882		경상남도 함양군청	055-960-5116	35.566183	127.774218	2017-09-01
수동면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 수동면 수동길 27		경상남도 함양군청	055-960-5116	35.522108	127.787765	2017-09-01
유림면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 유림면 천왕봉로 2872-3		경상남도 함양군청	055-960-5116	35.466125	127.792278	2017-09-01
휴천면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 휴천면 목현옥매로 3		경상남도 함양군청	055-960-5116	35.480653	127.750233	2017-09-01
마천면사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 마천면 당흥길 15		경상남도 함양군청	055-960-5116	35.396892	127.663041	2017-09-01
함양읍사무소	민원실	경상남도	함양군	관공서	경상남도 함양군	Public WiFi Free		경상남도 함양군 함양읍 학사루길 11		경상남도 함양군청	055-960-5116	35.519697	127.726695	2017-09-01
함양장애인복지센터	3층사무실앞	경상남도	함양군	서민·복지시설	LGU+	Public WiFi Free		경상남도 함양군 함양읍 이은농공길 3-9		경상남도 함양군청	055-960-5116	35.511625	127.728083	2017-09-01
함양장애인복지센터	1층로비	경상남도	함양군	서민·복지시설	LGU+	Public WiFi Free		경상남도 함양군 함양읍 이은농공길 3-9		경상남도 함양군청	055-960-5116	35.511625	127.728083	2017-09-01
함양토종약초시장	화장실앞	경상남도	함양군	기타	KT	Public WiFi Free		경상남도 함양군 안의면 약초시장길 27		경상남도 함양군청	055-960-5116	35.625965	127.813737	2017-09-01
함양토종약초시장	전시실	경상남도	함양군	기타	KT	Public WiFi Free		경상남도 함양군 안의면 약초시장길 27		경상남도 함양군청	055-960-5116	35.625965	127.813737	2017-09-01
함양토종약초시장	2층사무실	경상남도	함양군	기타	KT	Public WiFi Free		경상남도 함양군 안의면 약초시장길 27		경상남도 함양군청	055-960-5116	35.625965	127.813737	2017-09-01
함양청소년종합지원센터	3층복도	경상남도	함양군	서민·복지시설	KT	Public WiFi Free		경상남도 함양군 함양읍 필봉산길 55		경상남도 함양군청	055-960-5116	35.524208	127.722753	2017-09-01
함양청소년종합지원센터	2층복도	경상남도	함양군	서민·복지시설	KT	Public WiFi Free		경상남도 함양군 함양읍 필봉산길 55		경상남도 함양군청	055-960-5116	35.524208	127.722753	2017-09-01
함양청소년종합지원센터	1층복도	경상남도	함양군	서민·복지시설	KT	Public WiFi Free		경상남도 함양군 함양읍 필봉산길 55		경상남도 함양군청	055-960-5116	35.524208	127.722753	2017-09-01
함양보건소	3층복도	경상남도	함양군	관공서	KT	Public WiFi Free		경상남도 함양군 함양읍 한들로 141		경상남도 함양군청	055-960-5116	35.519683	127.731722	2017-09-01
푸른들청소년도서관	지하1층	서울특별시	강서구	지역문화시설	서울특별시 강서구	Pucblic wifi@gangseo		서울특별시 강서구 강서로45다길 71	서울특별시 강서구 화곡3동 1019	서울특별시 강서구	02-2600-6648	37.544647	126.835177	2017-04-06
푸른들청소년도서관	2층	서울특별시	강서구	지역문화시설	서울특별시 강서구	Pucblic wifi@gangseo		서울특별시 강서구 강서로45다길 71	서울특별시 강서구 화곡3동 1019	서울특별시 강서구	02-2600-6648	37.544647	126.835177	2017-04-06
푸른들청소년도서관	3층	서울특별시	강서구	지역문화시설	서울특별시 강서구	Pucblic wifi@gangseo		서울특별시 강서구 강서로45다길 71	서울특별시 강서구 화곡3동 1019	서울특별시 강서구	02-2600-6648	37.544647	126.835177	2017-04-06
전주한옥생활체험관	중앙 건물	전라북도	전주시	지역문화시설	KT	Public WiFi Free	17-Jan	전라북도 전주시 완산구 어진길 29	전라북도 전주시 완산구 풍남동3가 33-4	전라북도 전주시청	063-281-2424	35.8175156	127.1530223	2017-04-24
반여2동주민센터	민원실	부산광역시	해운대구	관공서	SKT	Public WiFi	14-Oct	부산광역시 해운대구 재반로211번길 9 (반여동)	부산광역시 해운대구 반여동 1291-836번지	부산광역시	051-888-4604	35.1959634	129.1301538	2017-05-10
반여2동 상가시장	시장	부산광역시	해운대구	서민·복지시설	SKT	Public WiFi	14-Oct	부산광역시 해운대구 해운대로61번길 95-47	부산광역시 해운대구 반여2동 1291-918번지	부산광역시	051-888-4604	35.1956196	129.1286673	2017-05-10
반여1동주민센터	민원실	부산광역시	해운대구	관공서	SKT	Public WiFi	14-Oct	부산광역시 해운대구 선수촌로 85 (반여동)	부산광역시 해운대구 반여1동 1441-34번지	부산광역시	051-888-4604	35.2012552	129.1189954	2017-05-10
반송복지관(해운대)	복지관	부산광역시	해운대구	서민·복지시설	SKT	Public WiFi	13-Oct	부산광역시 해운대구 아랫반송로1번길 15	부산광역시 해운대구 반송1동 697-2	부산광역시	051-888-4604	35.2263444	129.1468777	2017-05-10
반송보건지소	민원실	부산광역시	해운대구	서민·복지시설	SKT	Public WiFi	14-Oct	부산광역시 해운대구 반송로 853 (반송동)	부산광역시 해운대구 반송동 683-48번지	부산광역시	051-888-4604	35.2298342	129.1475114	2017-05-10
반송골목시장	시장	부산광역시	해운대구	서민·복지시설	SKT	Public WiFi	14-Oct	부산광역시 해운대구 아랫반송로39번길 18-12	부산광역시 해운대구 반송동 250-410	부산광역시	051-888-4604	35.224018	129.150362	2017-05-10
반송3동주민센터	민원실	부산광역시	해운대구	관공서	SKT	Public WiFi	14-Oct	부산광역시 해운대구 반송순환로 158 (반송동)	부산광역시 해운대구 반송동 259-113번지	부산광역시	051-888-4604	35.2245734	129.1522136	2017-05-10
덕진구청	별관	전라북도	전주시	관공서	LGU+	asiart jeonju12	17-Jun	전라북도 전주시 덕진구 벚꽃로 55	전라북도 전주시 덕진구 진북동 416-12	전라북도 전주시 덕진구청	063-270-6200	35.8293589	127.1345616	2017-04-24
덕진구청	별관	전라북도	전주시	관공서	LGU+	asiart jeonju11	17-Jun	전라북도 전주시 덕진구 벚꽃로 55	전라북도 전주시 덕진구 진북동 416-12	전라북도 전주시 덕진구청	063-270-6200	35.8293589	127.1345616	2017-04-24
덕진구청	4층	전라북도	전주시	관공서	LGU+	asiart jeonju9	17-Jun	전라북도 전주시 덕진구 벚꽃로 55	전라북도 전주시 덕진구 진북동 416-12	전라북도 전주시 덕진구청	063-270-6200	35.8293589	127.1345616	2017-04-24
덕진구청	3층	전라북도	전주시	관공서	LGU+	asiart jeonju7	17-Jun	전라북도 전주시 덕진구 벚꽃로 55	전라북도 전주시 덕진구 진북동 416-12	전라북도 전주시 덕진구청	063-270-6200	35.8293589	127.1345616	2017-04-24
덕진구청	3층	전라북도	전주시	관공서	LGU+	asiart jeonju6	17-Jun	전라북도 전주시 덕진구 벚꽃로 55	전라북도 전주시 덕진구 진북동 416-12	전라북도 전주시 덕진구청	063-270-6200	35.8293589	127.1345616	2017-04-24
덕진구청	2층	전라북도	전주시	관공서	LGU+	asiart jeonju5	17-Jun	전라북도 전주시 덕진구 벚꽃로 55	전라북도 전주시 덕진구 진북동 416-12	전라북도 전주시 덕진구청	063-270-6200	35.8293589	127.1345616	2017-04-24
덕진구청	2층	전라북도	전주시	관공서	LGU+	asiart jeonju4	17-Jun	전라북도 전주시 덕진구 벚꽃로 55	전라북도 전주시 덕진구 진북동 416-12	전라북도 전주시 덕진구청	063-270-6200	35.8293589	127.1345616	2017-04-24
호성동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 동부대로 869	전라북도 전주시 덕진구 호성동 1가 863-44	전라북도 전주시 덕진구청	063-270-6200	35.8636502	127.149624	2017-04-24
팔복동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 신복5길 6	전라북도 전주시 덕진구 팔복동 1가 138-6	전라북도 전주시 덕진구청	063-270-6200	35.8536276	127.1062727	2017-04-24
진북동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 벚꽃1길 8	전라북도 전주시 덕진구 진북동 1042-4	전라북도 전주시 덕진구청	063-270-6200	35.8277745	127.1314478	2017-04-24
조촌동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 쪽구름로 150	전라북도 전주시 덕진구 반월동 394	전라북도 전주시 덕진구청	063-270-6200	35.8745192	127.0691918	2017-04-24
인후3동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 구총목로 11	전라북도 전주시 덕진구 인후동 1가 886-6	전라북도 전주시 덕진구청	063-270-6200	35.8279021	127.1613387	2017-04-24
인후2동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 견훤왕궁로 244	전라북도 전주시 덕진구 인후동 2가 26-8	전라북도 전주시 덕진구청	063-270-6200	35.8398462	127.1462397	2017-04-24
인후1동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 견훤로 290	전라북도 전주시 덕진구 인후동 1가 766-9	전라북도 전주시 덕진구청	063-270-6200	35.8374601	127.156659	2017-04-24
우아2동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 진버들7길 25	전라북도 전주시 덕진구 우아동 2가 856-3	전라북도 전주시 덕진구청	063-270-6200	35.8377219	127.1670598	2017-04-24
우아1동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 우아2길 25	전라북도 전주시 덕진구 우아동 3가 746-67	전라북도 전주시 덕진구청	063-270-6200	35.8498168	127.1595847	2017-04-24
송천2동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 두간9길 6	전라북도 전주시 덕진구 송천동 1가 829-1	전라북도 전주시 덕진구청	063-270-6200	35.8648946	127.1156222	2017-04-24
송천1동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 송천중앙로 116	전라북도 전주시 덕진구 송천동 1가 395-28	전라북도 전주시 덕진구청	063-270-6200	35.8570947	127.1210231	2017-04-24
동산동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 여암2길 9	전라북도 전주시 덕진구 여의동 606-4	전라북도 전주시 덕진구청	063-270-6200	35.8710292	127.074519	2017-04-24
덕진동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 기린대로 533-7	전라북도 전주시 덕진구 덕진동 1가 1357-5	전라북도 전주시 덕진구청	063-270-6200	35.8453069	127.1206927	2017-04-24
금암2동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 거북바우로 50	전라북도 전주시 덕진구 금암동 1572-1	전라북도 전주시 덕진구청	063-270-6200	35.8385429	127.143088	2017-04-24
금암1동주민센터	민원실	전라북도	전주시	관공서	KT	asiart jeonju	17-Jun	전라북도 전주시 덕진구 기린대로 392	전라북도 전주시 덕진구 금암동 470-7	전라북도 전주시 덕진구청	063-270-6200	35.8374063	127.1331382	2017-04-24
효자4동주민센터	민원실	전라북도	전주시	관공서	KT	hyoja4	17-Jun	전라북도 전주시 완산구 우전로 259	전라북도 전주시 완산구 효자동 2가 1233-1	전라북도 전주시 완산구청	063-220-5500	35.8176718	127.1015345	2017-04-24
효자3동주민센터	민원실	전라북도	전주시	관공서	KT	효자3동	17-Jun	전라북도 전주시 완산구 강변로 180	전라북도 전주시 완산구 효자동 1가 296-37	전라북도 전주시 완산구청	063-220-5500	35.8065593	127.1103409	2017-04-24
효자2동주민센터	민원실	전라북도	전주시	관공서	KT	효자2동	17-Jun	전라북도 전주시 완산구 오두정1길 1	전라북도 전주시 완산구 효자동 1가 408-9	전라북도 전주시 완산구청	063-220-5500	35.8068378	127.1195137	2017-04-24
효자1동주민센터	민원실	전라북도	전주시	관공서	KT	hyoja1	17-Jun	전라북도 전주시 완산구 안행5길 59-3	전라북도 전주시 완산구 효자동 1가 110-16	전라북도 전주시 완산구청	063-220-5500	35.8058569	127.1300014	2017-04-24
삼천3동주민센터	민원실	전라북도	전주시	관공서	KT	sam3	17-Jun	전라북도 전주시 완산구 삼천천변2길 37	전라북도 전주시 완산구 삼천동 1가 287-21	전라북도 전주시 완산구청	063-220-5500	35.7968626	127.1143079	2017-04-24
삼천2동주민센터	민원실	전라북도	전주시	관공서	KT	sam2	17-Jun	전라북도 전주시 완산구 거마중앙로 49	전라북도 전주시 완산구 삼천동 1가 633	전라북도 전주시 완산구청	063-220-5500	35.7963168	127.1223579	2017-04-24
삼천1동주민센터	민원실	전라북도	전주시	관공서	KT	sam1	17-Jun	전라북도 전주시 완산구 성지산로 33	전라북도 전주시 완산구 삼천동 1가 573-2	전라북도 전주시 완산구청	063-220-5500	35.8008188	127.1216158	2017-04-24
서신동주민센터	민원실	전라북도	전주시	관공서	KT	seoshin	17-Jun	전라북도 전주시 완산구 서신천변14길 10	전라북도 전주시 완산구 서신동 804-2	전라북도 전주시 완산구청	063-220-5500	35.8309872	127.1153256	2017-04-24
평화2동주민센터	민원실	전라북도	전주시	관공서	KT	평화2동	17-Jun	전라북도 전주시 완산구 평화18길 14-16	전라북도 전주시 완산구 평화동 1가 720-4	전라북도 전주시 완산구청	063-220-5500	35.7955181	127.135285	2017-04-24
평화1동주민센터	민원실	전라북도	전주시	관공서	KT	평화1동	17-Jun	전라북도 전주시 완산구 장승배기로 256	전라북도 전주시 완산구 평화동 1가 445-8	전라북도 전주시 완산구청	063-220-5500	35.7980662	127.1403211	2017-04-24
중화산2동주민센터	민원실	전라북도	전주시	관공서	KT	중화산2동	17-Jun	전라북도 전주시 완산구 화산천변로 30	전라북도 전주시 완산구 중화산동 2가 752-1	전라북도 전주시 완산구청	063-220-5500	35.821654	127.1163942	2017-04-24
중화산1동주민센터	민원실	전라북도	전주시	관공서	KT	iptime	17-Jun	전라북도 전주시 완산구 한두평3길 16	전라북도 전주시 완산구 중화산동 2가 662	전라북도 전주시 완산구청	063-220-5500	35.8145847	127.1248437	2017-04-24
서서학동주민센터	민원실	전라북도	전주시	관공서	KT	서서학동	17-Jun	전라북도 전주시 완산구 공수내로24	전라북도 전주시 완산구 서서학동 23-8	전라북도 전주시 완산구청	063-220-5500	35.8057276	127.1487117	2017-04-24
동서학동주민센터	민원실	전라북도	전주시	관공서	KT	동서학동	17-Jun	전라북도 전주시 완산구 서학로 26	전라북도 전주시 완산구 동서학동 150	전라북도 전주시 완산구청	063-220-5500	35.8094822	127.1522589	2017-04-24
완산동주민센터	민원실	전라북도	전주시	관공서	KT	완산동	17-Jun	전라북도 전주시 완산구 강당2길 7	전라북도 전주시 완산구 서완산동 2가 71-31	전라북도 전주시 완산구청	063-220-5500	35.8092187	127.1348687	2017-04-24
노송동주민센터	민원실	전라북도	전주시	관공서	KT	노송동	17-Jun	전라북도 전주시 완산구 인봉1길 54	전라북도 전주시 완산구  중노송동 225	전라북도 전주시 완산구청	063-220-5500	35.8243889	127.1583876	2017-04-24
풍남동주민센터	민원실	전라북도	전주시	관공서	KT	풍남동	17-Jun	전라북도 전주시 완산구 어진길 122-12	전라북도 전주시 완산구 경원동 1가 126-41	전라북도 전주시 완산구청	063-220-5500	35.8170375	127.1481118	2017-04-24
